NAME,VIAF NAME,VARIANTS NAMES,VIAF,WIKIPEDIA,WORLDCAT,LOC,IMDb,IBDb,LOC (Popular Graphic Arts),Notes
"Abbot, William, 1789-1843","Abbott, William, 1789-1843","Abbot, William,
Abbot, William
Abbott,
Abbott
William Abbot",http://viaf.org/viaf/25985092,https://en.wikipedia.org/wiki/William_Abbot,https://www.worldcat.org/identities/lccn-n83180250/,http://id.loc.gov/authorities/names/n83180250,,,,
"Abington, Mrs., (Frances Barton), 1737-1815","Abington, Frances 1737-1815","Abington, Frances
Abington, Mrs. (Frances Barton)
Frances Abington
",https://viaf.org/viaf/49153847,https://en.wikipedia.org/wiki/Frances_Abington,https://www.worldcat.org/identities/containsVIAFID/49153847,http://id.loc.gov/authorities/names/nr2001011606,,,,
"Abrams, Miss, fl. 1778",,,,,,,,,,
"Adams, Edwin, 1834-1877",,"Adams, Edwin
Edwin Adams
Edwin Adams American actor",https://viaf.org/viaf/59009442/,https://en.wikipedia.org/wiki/Edwin_Adams_(actor),http://www.worldcat.org/identities/lccn-nr2001-18199,http://id.loc.gov/authorities/names/nr2001018199,,,,
"Adams, Maude, 1872-1953","Adams, Maude, 1872-1953","Adams, Maud,
Adams, Maud
Maude Adams
Maude Ewing Adams Kiskadden",http://viaf.org/viaf/59344621,https://en.wikipedia.org/wiki/Maude_Adams,http://www.worldcat.org/identities/lccn-n83-148859,http://id.loc.gov/authorities/names/n83148859,http://www.imdb.com/name/nm5155958/,,,
"Addison, Laura, 1822-1852","Addison, Laura, 1822-1852","Addison, Laura
Laura Addison",http://viaf.org/viaf/24527744,http://en.wikipedia.org/wiki/Special:Search?search=Laura_Addison,http://www.worldcat.org/identities/lccn-nr2001018452/,http://id.loc.gov/authorities/names/nr2001018452,,,,
"Aickin, Francis, d. 1805","Aickin, Francis, -1805","Aickin, Francis
Francis Aickin",http://viaf.org/viaf/43860438,http://en.wikipedia.org/wiki/Special:Search?search=Francis_Aickin,http://www.worldcat.org/identities/lccn-no91005679/,http://id.loc.gov/authorities/names/no91005679,,,,
"Aickin, James, d. 1803","Aickin, James, -1803","Aickin, James,
Aikin, James,
James Aickin",http://viaf.org/viaf/31847307,https://en.wikipedia.org/wiki/James_Aickin,http://www.worldcat.org/identities/lccn-nr90-19530,http://id.loc.gov/authorities/names/nr90019530,,,,
"Alexander, George, Sir, 1858-1918","Alexander, George, Sir, 1858-1918","Alexander, G.
George Alexander
Samson, George Alexander Gibb,
Samson, George Alexander Gibb
",http://viaf.org/viaf/72141318,https://en.wikipedia.org/wiki/George_Alexander_(actor),http://www.worldcat.org/identities/lccn-no92-12322,http://id.loc.gov/authorities/names/no92012322,http://www.imdb.com/name/nm0018440/,,,
"Alexandre (Alexander Vattenmare), 1796-1864","Vattemare, Alexandre, 1796-1864","Alexandre Vattemare
Vattemare, Alexandre
Vattemare, Alexandre (Nicolas Marie Alexandre)",http://viaf.org/viaf/49216734/,https://en.wikipedia.org/wiki/Alexandre_Vattemare,http://www.worldcat.org/identities/lccn-no89-14214,http://id.loc.gov/authorities/names/no89014214,,,,
"Allan, Alexander","Sir Alexander Allan, 1st Baronet","Alexander Allan
",http://viaf.org/viaf/95721703,"https://en.wikipedia.org/wiki/Sir_Alexander_Allan,_1st_Baronet",,,,,,
"Allen, Andrew Jackson, 1776-1853",,,,,,,,,,
"Allen, Louis, fl. 1856",,,,,,,,,,
"Allen, Viola, 1867-1948","Allen, Viola, 1867-1948","Allen, Viola
Duryea, Viola,
Duryea, Viola
Duryea,
Duryea
Viola Allen
",http://viaf.org/viaf/65430110,https://en.wikipedia.org/wiki/Viola_Allen,http://www.worldcat.org/identities/lccn-n85-46477,http://id.loc.gov/authorities/names/n85046477,http://www.imdb.com/name/nm0021142/,http://ibdb.com/person.php?id=66734,,
"Alleyn, Edward, 1566-1626","Alleyn, Edward, 1566-1626","Edward Alleyn
",http://viaf.org/viaf/52492989,https://en.wikipedia.org/wiki/Edward_Alleyn,http://www.worldcat.org/identities/lccn-n50-22999/,http://id.loc.gov/authorities/names/n50022999,,,,
"Almar, George","Almar, George","Almar, G.",http://viaf.org/viaf/1365950,,http://www.worldcat.org/identities/lccn-n82-152755,http://id.loc.gov/authorities/names/n82152755,,,,
"Alsop, Frances, d. 1821","Alsop, Frances, -1821","Alsop, Frances,
Alsop, Frances",http://viaf.org/viaf/39303911,https://en.wikipedia.org/wiki/Frances_Alsop,http://www.worldcat.org/identities/lccn-nr2001-18454,http://id.loc.gov/authorities/names/nr2001018454,,,,
"Anderson, Joshua","Anderson, Joshua",,http://viaf.org/viaf/168891486,,,,,,,
"Anderson, Mary, 1859-1940","Anderson, Mary, 1859-1940","De Navarro, Mary Anderson,
De Navarro, Mary Anderson
De Navarro,
De Navarro
Mary Anderson
Navarro, Mary Anderson de
Navarro, Mary Anderson de,
Navarro, Mary de,
Navarro, Mary de
Navarro,
Navarro",http://viaf.org/viaf/6293710,"https://en.wikipedia.org/wiki/Mary_Anderson_(actress,_born_1859)",http://www.worldcat.org/identities/lccn-n82-225905,http://id.loc.gov/authorities/names/n82225905,,https://www.ibdb.com/broadway-cast-staff/mary-anderson-7586,,
"Andrews, George H., 1798-1866","Andrews, George H., 1798-1866","Andrews,",http://viaf.org/viaf/43934945,,http://www.worldcat.org/identities/lccn-no99-48269,http://id.loc.gov/authorities/names/no99048269,,,,
"Angelo, Henry, 1756-1835","Angelo, Henry, 1756-1835","Angelo, Harry
Angelo
Malevolti, Henry Charles William,
Malevolti, Henry Charles William",http://viaf.org/viaf/26368687,,http://www.worldcat.org/identities/lccn-n97-877397,http://id.loc.gov/authorities/names/n97877397,,,,
"Angri, Elena, 1824-1886","Angri, Elena, 1824-1886","Angry, Elena,
Angry, Elena
Angry

D'Angri, Elena,
D'Angri, Elena
D'Angri
Elena D'Angri
",http://viaf.org/viaf/74740493,https://en.wikipedia.org/wiki/Elena_D'Angri,http://www.worldcat.org/identities/lccn-n2003-72100,http://id.loc.gov/authorities/names/n2003072100,,,,
"Archer, William, 1856-1924","Archer, William, 1856-1924","Archer, William
Archer,
Kappa,
William Archer
",http://viaf.org/viaf/2509112,https://en.wikipedia.org/wiki/William_Archer_(critic),http://www.worldcat.org/identities/lccn-n50-23509,http://id.loc.gov/authorities/names/n50023509,,https://www.ibdb.com/broadway-cast-staff/william-archer-9093,,
"Armin, Robert, fl. 1610","Armin, Robert, fl. 1610","A, R.
A., R.
Armin, Robert,
Armin, Robert
Armyn, Robert
Gent, R. A.
R. A.
R. A
R.A.,
R.A
Robert Armin
",http://viaf.org/viaf/72302615,https://en.wikipedia.org/wiki/Robert_Armin,http://www.worldcat.org/identities/lccn-n79-18191,http://id.loc.gov/authorities/names/n79018191,,,,
"Aston, Anthony, fl. 1682-1747","Aston, Tony, approximately 1682-approcimately 1753","Aston, Anthony
Aston, Tony
Anthony Aston
Tony Aston",http://viaf.org/viaf/40756894,https://en.wikipedia.org/wiki/Anthony_Aston,http://www.worldcat.org/identities/lccn-n83177812/,http://id.loc.gov/authorities/names/n83177812,,,,"Approximate death dates are not consistent, but the works he is involved in were consistent"
"Atkins, Edward, 1819-1883","Atkins, Edward, 1819-1883","Atkins,",http://viaf.org/viaf/31817603,,http://www.worldcat.org/identities/lccn-no2008-127845/,http://id.loc.gov/authorities/names/no2008127845,,,,
"Atkins, Eliza Warrell, fl. 1787-1808?","Atkins, Mrs. (Eliza), active 1787-1808?",,http://viaf.org/viaf/304394249/,,,,,,,"The WorldCat Identity this VIAF page links to is for Capt. Thomas Hill, and she is listed as an alternative name (http://www.worldcat.org/identities/lccn-no2013-65076/)"
"Austin, Elizabeth, b. ca. 1800","Austin, Mrs. (Elizabeth) approximately 1800-","Austin, Mrs. (Elizabeth) approximately 1800-",http://viaf.org/viaf/36812270,https://en.wikipedia.org/wiki/Elizabeth_Austin_(soprano),http://www.worldcat.org/identities/lccn-nr95042731/,http://id.loc.gov/authorities/names/nr95042731,,,,
"Austin, Jennie, d. 1938",,"Austin, Jennie B.",,,"http://www.worldcat.org/identities/np-austin,%20jennie%20b/",,,,,Tentative
"Ayton, Fanny, b. 1806?",,,,,,,,,,Oxford Index has a possible source: http://oxfordindex.oup.com/view/10.1093/gmo/9781561592630.article.01624
"Baddeley, Robert, 1733-1794","Baddeley, Robert, 1733-1794",,http://viaf.org/viaf/40760757,http://en.wikipedia.org/wiki/Special:Search?search=Robert_Baddeley,http://www.worldcat.org/identities/lccn-n83212096/,http://id.loc.gov/authorities/names/n83212096,,,,
"Baddeley, Sophia, 1745?-1786","Baddeley, Sophia, 1745?-1786","Baddeley, Robert,
Baddeley, Robert
Baddeley,
Baddeley
Snow, Sophia,
Snow, Sophia
Sophia Baddeley",http://viaf.org/viaf/57688950,https://en.wikipedia.org/wiki/Sophia_Baddeley,http://www.worldcat.org/identities/lccn-no93038293/,http://id.loc.gov/authorities/names/no93038293,,,,
"Baker, Alexina Fisher, 1822-1887","Baker, Alexina Fisher, 1822-1887",,http://viaf.org/viaf/61040450,,http://www.worldcat.org/identities/lccn-nb99-33500/,http://id.loc.gov/authorities/names/nb99033500,,,,
"Baker, Benjamin A., 1818-1890","Baker, Benjamin A., 1818-1890","Baker, B. A.
Baker,",http://viaf.org/viaf/71319967,,http://www.worldcat.org/identities/lccn-nr2001-26805/,http://id.loc.gov/authorities/names/nr2001026805,,,,
"Baker, Matilda, b. 1801","Baker, Matilda, 1801-","Baker, C. W. Mrs.
Baker, Mrs. (Matilda)
Vining, Matilda",http://viaf.org/viaf/83586899/,,http://www.worldcat.org/identities/lccn-no2009-38045/,http://id.loc.gov/authorities/names/no2009038045.html,,,,
"Bancroft, Marie, 1839-1921","Bancroft, Marie, 1839-1921","Bancroft, Effie
Bancroft, Marie E.
Bancroft, Marie Effie Wilton,
Bancroft, Marie Effie Wilton
Bancroft, Marie Effie,
Bancroft, Marie Effie
Bancroft, Marie
Effie Bancroft, Marie
Effie Bancroft
Wilton Bancroft, Marie Effie
Wilton, Marie E.
Wilton, Marie Effie,
Wilton, Marie Effie
Wilton, Marie,
Wilton, Marie
Wilton",http://viaf.org/viaf/20064572,https://en.wikipedia.org/wiki/Effie_Bancroft,http://www.worldcat.org/identities/lccn-n88-600402,http://id.loc.gov/authorities/names/n88600402,,,,
"Bancroft, Squire, 1841-1926","Bancroft, Squire, 1841-1926","Bancroft, Squire Bancroft,
Bancroft, Squire Bancroft
Bancroft, Squire,
Bancroft, Squire
Bancroft,
Bancroft
Butterfield, Squire White
Squire Bancroft
White Butterfield, Squire",http://viaf.org/viaf/69671777,https://en.wikipedia.org/wiki/Squire_Bancroft,,,,,,
"Bangs, Frank C., 1833-1908","Bangs, Frank C., 1832-1908","Bangs, F. C. (Frank C.)",http://viaf.org/viaf/311767171/,,http://www.worldcat.org/identities/lccn-n2014-70442,http://id.loc.gov/authorities/names/n2014070442,,https://www.ibdb.com/broadway-cast-staff/frank-c-bangs-30799,,"All sources indicate that the birth year is 1932

Broadway Photographs website offers another Frank C. Bangs: http://broadway.cas.sc.edu/content/frank-c-bangs"
"Bannister, Charles, 1738-1804","Bannister, Charles, 1741-1804","Bannister,
Bannister
Charles Bannister",http://viaf.org/viaf/66031988,https://en.wikipedia.org/wiki/Charles_Bannister,http://www.worldcat.org/identities/lccn-no91-5683,http://id.loc.gov/authorities/names/no91005683,,,,
"Bannister, Elizabeth, 1757-1849","Bannister, Elizabeth, 1757-1849","Harper, Elizabeth,
Harpur,",http://viaf.org/viaf/61328366,,http://www.worldcat.org/identities/lccn-no2007-91930,http://id.loc.gov/authorities/names/no2007091930,,,,
"Bannister, John, 1760-1836","Bannister, John, 1760-1836","Bannister, Jack
Bannister,
Bannister
John Bannister",http://viaf.org/viaf/40544202,https://en.wikipedia.org/wiki/John_Bannister_(actor),http://www.worldcat.org/identities/lccn-no91-13676/,http://id.loc.gov/authorities/names/no91013676,,,,
"Banvard, John, 1815-1891","Banvard, John, 1815-1891",John Banvard,http://viaf.org/viaf/9405617,https://en.wikipedia.org/wiki/John_Banvard,http://www.worldcat.org/identities/lccn-no90-17154,http://id.loc.gov/authorities/names/no90017154,,,,
"Barclay, Miss, fl. 1792",,,,,,,,,,
"Barnes, John, d. 1841","Barnes, John, 1761-1841","Barnes, Mr., John",http://viaf.org/viaf/83621846/,,http://www.worldcat.org/identities/lccn-no2009-43712/,http://id.loc.gov/authorities/names/no2009043712,,,,
"Barnes, Mary, 1780-1864","Barnes, Mary, 1780-1864","Barnes,
Greenhill, Mary,",http://viaf.org/viaf/41775940,,http://www.worldcat.org/identities/lccn-nr2002-15387/,http://id.loc.gov/authorities/names/nr2002015387,,,,
"Barnes, William Augustus, 1826-1868",,,,,"https://www.worldcat.org/identities/np-barnes,%20william%20augustus$1868/",,,,http://www.loc.gov/pictures/collection/pga/item/2013651038/,
"Barrett, Ann Jane, 1801-1853",,,,,,,,,,Nothing found
"Barrett, Lawrence, 1838-1891","Barrett, Lawrence, 1838-1891","Brannigan, Larry Patrick,
Lawrence Barrett",http://viaf.org/viaf/315534368,https://en.wikipedia.org/wiki/Lawrence_Barrett,http://www.worldcat.org/identities/lccn-no92-16630/,http://id.loc.gov/authorities/names/no92016630,,,,
"Barrett, Mary",,,,,,,,,,Nothing found
"Barrett, Wilson, 1848-1904","Barrett, Wilson, 1848-1904","Barrett, William Henry
Barrett, William Henry,
Barrett, the Elder Wilson
Barrett, the Elder, Wilson,
William Henry Barrett
Wilson Barrett
Wilson Barret
",http://viaf.org/viaf/100337911,https://en.wikipedia.org/wiki/Wilson_Barrett,https://www.worldcat.org/identities/lccn-n82154707/,http://id.loc.gov/authorities/names/n82154707.html,,https://www.ibdb.com/broadway-cast-staff/wilson-barrett-9208,,
"Barrow, Julia Bennett, b. 1824","Barrow, Julia Bennett, 1824-",,http://viaf.org/viaf/73764900/,,http://id.loc.gov/authorities/names/nr98000735,,,,,
"Barry, Ann, 1734-1801","Barry, Ann, 1734-1801","Ann Street Barry
Anne Crawford
Barry, Spranger,
Barry, Spranger
Barry,
Barry
Crawford, Ann,
Crawford, Ann
Crawford, Thomas,
Crawford, Thomas
Dancer,  William,
Dancer, Ann,
Dancer, Ann
Dancer, William
Spranger Barry,
Spranger Barry
Spranger, Barry,
Spranger, Barry
Street, Ann,
Street, Ann",http://viaf.org/viaf/70951415,https://en.wikipedia.org/wiki/Ann_Street_Barry,http://www.worldcat.org/identities/lccn-no91-5685/,http://id.loc.gov/authorities/names/no91005685,,,,
"Barry, Thomas","Barry, Thomas, active 1800-1802","Barry, Thomas,
Barry, Thomas",http://viaf.org/viaf/241497289,,http://www.worldcat.org/identities/lccn-n79-91587/,http://id.loc.gov/authorities/names/n79091587,,,,
"Barrymore, Maurice, 1847-1905","Barrymore, Maurice, 1849-1905","Maurice Barrymore
Herbert Arthur Chamberlayne Blythe",http://viaf.org/viaf/68747789,https://en.wikipedia.org/wiki/Maurice_Barrymore,http://www.worldcat.org/identities/lccn-no2008113966/,http://id.loc.gov/authorities/names/no2008113966,,https://www.ibdb.com/broadway-cast-staff/maurice-barrymore-31144,,
"Barrymore, Richard Barry, Earl of, 1769-1793","Barrymore, Richard Barry, Earl of, 1769-1793","Barry, Richard,
Barry, Richard
Barrymore, Richard Barry,
Barrymore, Richard Barry
Barryscourt, Richard Barry,
Barryscourt, Richard Barry
Buttevant, Richard Barry,
Buttevant, Richard Barry
Ibaune, Richard Barry,
Ibaune, Richard Barry
Olethan, Richard Barry,
Olethan, Richard Barry
Richard Barry, 7. hrabia Barrymore
Richard Barry, 7th Earl of Barrymore",http://viaf.org/viaf/51370757,"https://en.wikipedia.org/wiki/Richard_Barry,_7th_Earl_of_Barrymore",http://www.worldcat.org/identities/lccn-no2003-14667/,http://id.loc.gov/authorities/names/no2003014667,,,,
"Barrymore, W. (William), d. 1845","Barrymore, W. (William), -1845","Barrymore, W.",http://viaf.org/viaf/18577733/,,http://www.worldcat.org/identities/lccn-n82-155083/,http://id.loc.gov/authorities/names/n82155083,,,,
"Barrymore, William, Mrs., 1783-1862","Barrymore, William, Mrs., 1783-1862","Adams, Ann,",http://viaf.org/viaf/63573850,,http://www.worldcat.org/identities/lccn-no92-7388/,http://id.loc.gov/authorities/names/no92007388,,,,NYPL offers a source under her maiden name: https://digitalcollections.nypl.org/items/3adc3000-1e4b-0131-76ca-58d385a7b928
"Barsanti, Jane, d. 1795","Barsanti, Jane, -1795","Barsanti, Jane,
Barsanti, Jane
Barsanti,
Barsanti",http://viaf.org/viaf/46715350,,http://www.worldcat.org/identities/lccn-nr2004-33318/,http://id.loc.gov/authorities/names/nr2004033318,,,,
"Bartleman, James, 1769-1821","Bartleman, James 1769-1821","Bartleman, James,
Bartleman, James
Bartleman, Mr.
Bartleman, Mr
James Bartleman",http://viaf.org/viaf/91165687,https://en.wikipedia.org/wiki/James_Bartleman_(singer),http://www.worldcat.org/identities/lccn-no2009-110183/,http://id.loc.gov/authorities/names/no2009110183,,,,"Additional wikisource: https://en.wikisource.org/wiki/Bartleman,_James_(DNB00)"
"Bartley, Sarah, 1783-1850","Bartley, Sarah, 1783-1850","Bartley,
Bartley
O'Shaughnessy, Sarah,
O'Shaughnessy, Sarah
Sarah Bartley
Smith, Sarah,
Smith, Sarah
Williamson, Sarah,
Williamson, Sarah",http://viaf.org/viaf/73416040,https://en.wikipedia.org/wiki/Sarah_Bartley,http://www.worldcat.org/identities/lccn-no91-13733/,http://id.loc.gov/authorities/names/no91013733,,,,National Library of Australia: http://trove.nla.gov.au/people/1527168
"Bass, Charles, 1803-1863","Bass, Charles, 1803-1863","Bass,",http://viaf.org/viaf/86390595,,http://www.worldcat.org/identities/lccn-no2009-62580/,http://id.loc.gov/authorities/names/no2009062580,,,,
"Bassi, Amedeo, 1874-1949","Bassi, Amedeo, 1874-1949","Amedeo Bassi
Bassi, A.
Bassi, Amadeo,
Bassi, Amadeo",http://viaf.org/viaf/27250453,https://it.wikipedia.org/wiki/Amedeo_Bassi,http://www.worldcat.org/identities/lccn-n97-50096/,http://id.loc.gov/authorities/names/n97050096,,,,All Music: http://www.allmusic.com/artist/amedeo-bassi-mn0002166380
"Bassini, Emma Sarda Di",,,,,,,,,,VAM: http://collections.vam.ac.uk/item/O1315814/emma-sarda-di-bassini-print-unknown/
"Bateman, Kate Josephine, 1843-1917","Bateman, Kate Josephine, 1843-1917","Kate Josephine Bateman
Crow, Kate Josephine
",http://viaf.org/viaf/45675454/,https://en.wikipedia.org/wiki/Kate_Josephine_Bateman,http://www.worldcat.org/identities/lccn-n83071172/,http://id.loc.gov/authorities/names/n83071172,,https://www.ibdb.com/broadway-cast-staff/kate-bateman-394095,,
"Beard, John, 1715 or 16-1791","Beard, John, 1715 or 16-1791","John Beard
Bear, John, 1715?-1791",http://viaf.org/viaf/49083318/,https://en.wikipedia.org/wiki/John_Beard_(tenor),http://www.worldcat.org/identities/lccn-nr91021759/,http://id.loc.gov/authorities/names/nr91021759,,,,
"Beckett, Harry, 1839-1880","Beckett, Harry, 1839-1880",Harry Beckett,http://viaf.org/viaf/44129839,https://en.wikipedia.org/wiki/Harry_Beckett_(actor),http://www.worldcat.org/identities/lccn-no2008-186584/,http://id.loc.gov/authorities/names/no2008186584,,https://www.ibdb.com/broadway-cast-staff/harry-beckett-433840,,
"Bedford, Paul John, ca. 1792-1871","Bedford, Paul John, 1794?-1871",Paul Bedford,http://viaf.org/viaf/68496222/,https://en.wikipedia.org/wiki/Paul_Bedford,http://www.worldcat.org/identities/lccn-no92013628/,http://id.loc.gov/authorities/names/no92013628,,,,
"Begnie, Signor di",,,,,,,,,,Nothing found
"Belasco, David, 1853-1931","Belasco, David, 1853-1931","Belasco, D.
Belasco, David
Belasko, D.
David Belasco
",http://viaf.org/viaf/100917861,https://en.wikipedia.org/wiki/David_Belasco,http://www.worldcat.org/identities/lccn-n50-6483/,http://id.loc.gov/authorities/names/n50006483,http://www.imdb.com/name/nm0067584/,http://ibdb.com/person.php?id=4974,,"Enyclopedia Britannica: https://en.wikisource.org/wiki/1922_Encyclop%C3%A6dia_Britannica/Belasco,_David"
"Bellamy, Thomas Ludford, 1771-1843","Bellamy, Thomas Ludford, 1771-1843",Thomas Ludford Bellamy,http://viaf.org/viaf/83569113,https://en.wikipedia.org/wiki/Thomas_Ludford_Bellamy,http://www.worldcat.org/identities/lccn-no2009-35129/,http://id.loc.gov/authorities/names/no2009035129,,,,
"Bellchambers, Miss",,,,,,,,,,
"Bellew, Kyrle, 1855-1911","Bellew, Kyrle, 1855-1911.","Bellew, Harold Kyrle,
Bellew, Harold Kyrle
Bellew, Kyrle Money,
Bellew, Kyrle Money
Kyrle Bellew",http://viaf.org/viaf/48120753,https://en.wikipedia.org/wiki/Kyrle_Bellew,http://www.worldcat.org/identities/lccn-n82-157830/,http://id.loc.gov/authorities/names/n82157830,,https://www.ibdb.com/broadway-cast-staff/kyrle-bellew-14151,,
Benefit performances,,,,,,,,,,Not a personal name
"Bengough, Henry, d. 1825","Bengough, Henry, -1825","Bengough, Henry,
Bengough, Henry
Bengough,
Bengough",http://viaf.org/viaf/61106702,,http://www.worldcat.org/identities/lccn-no91-13880/,http://id.loc.gov/authorities/names/no91013880,,,,
"Bennett, G. J. (George John), 1800-1879","Bennett, G. J. (George John), 1800-1879","G. J. Bennett
George J. Bennett
Bennett, G. J.
Bennett, George J.",http://viaf.org/viaf/35287522/,https://en.wikipedia.org/wiki/George_John_Bennett,http://www.worldcat.org/identities/lccn-n82-155082/,http://id.loc.gov/authorities/names/n82155082,,,,
"Bennett, William Mineard, 1778-1858","Bennett, William Mineard, 1778-1858","Bennett, William Mineheard
William Mineard Bennett",http://viaf.org/viaf/94774180,https://en.wikipedia.org/wiki/William_Mineard_Bennett,http://www.worldcat.org/identities/lccn-n2015-25017/,http://id.loc.gov/authorities/names/n2015025017,,,,"Oxford Dictionary of National Biography: http://www.oxforddnb.com/index/2/101002130/

Additional Wikisource: https://en.wikisource.org/wiki/Bennett,_William_Mineard_(DNB00)"
"Bensley, Robert, 1742-1817","Bensley, Robert, 1742-1817",Robert Bensley,http://viaf.org/viaf/4782126/,https://en.wikipedia.org/wiki/Robert_Bensley,http://www.worldcat.org/identities/lccn-nr90-23336/,http://id.loc.gov/authorities/names/nr90023336,,,,
"Benson, Mr., d. 1796","Benson, Mr., -1796","Benson, Robert",http://viaf.org/viaf/1377120/,,http://www.worldcat.org/identities/lccn-n83-8314/,http://id.loc.gov/authorities/names/n83008314,,,,"Possibly Benson, Robert, 1765-1796
Wikisource: https://de.wikipedia.org/wiki/Datei:Bodleian_Libraries,_Playbill_of_Drury_Lane_Theatre,_Tuesday,_Sept._29,_1795,_announcing_Macbeth_%26c..jpg"
"Berlioz, Harriet Smithson, 1800-1854","Berlioz, Harriet Smithson, 1800-1854","Berlioz Smithson, Harriet
Berlioz, Harriet Smithson
Harriet Smithson
Henrietta Constance Smithson
Smithson Berlioz, Harriet,
Smithson Berlioz, Harriet
Smithson Berlioz
Smithson, Harriet Berlioz-
Smithson, Harriet Constance,
Smithson, Harriet Constance
Smithson, Harriet,
Smithson, Harriet
Smithson, Henrietta Constance,
Smithson, Henrietta Constance
Smithson
",http://viaf.org/viaf/54373336,https://en.wikipedia.org/wiki/Harriet_Smithson,http://www.worldcat.org/identities/lccn-n81-134221/,http://id.loc.gov/authorities/names/n81134221,,,,Additional bio info: http://www.irishmeninparis.org/le-deuxieme-sexe/harriet-smithson-maria-edgeworth
"Bernard, John, 1756-1828","Bernard, John, 1756-1828","Bernard,
Bernard
John Bernard (actor)
",http://viaf.org/viaf/17077695,https://en.wikipedia.org/wiki/John_Bernard_(actor),http://www.worldcat.org/identities/lccn-nr91-12338/,http://id.loc.gov/authorities/names/nr91012338,,,,"Additional Wikisource: https://en.wikisource.org/wiki/Bernard,_John_(1756-1828)_(DNB00)"
"Berry, Edward, 1706-1760","Berry, Edward, 1706-1760",Edward Berry,http://viaf.org/viaf/25533837/,,http://www.worldcat.org/identities/lccn-no92-20031/,http://id.loc.gov/authorities/names/no92020031,,,,
"Betty, Henry, 1819-1897","Betty, Henry, 1819-1897","Henry, Betty
Henry Betty",http://viaf.org/viaf/56174773/,,http://www.worldcat.org/identities/lccn-no91-14573/,http://id.loc.gov/authorities/names/no91014573,,,,
"Betty, William Hen. West (William Henry West), b. 1791","Betty, William Hen. West (William Henry West), b. 1791","Betty, William Henry West
Betty, William Hen. West
Master Betty",http://viaf.org/viaf/2092233/,https://en.wikipedia.org/wiki/Master_Betty,http://www.worldcat.org/identities/lccn-no98-122693/,http://id.loc.gov/authorities/names/no98122693,,,,"Encyclopedia Britannica: https://en.wikisource.org/wiki/1911_Encyclop%C3%A6dia_Britannica/Betty,_William_Henry_West"
"Bihin, Monsieur, b. 1808",,,,,,,,,,"""Records of the New York stage, from 1750-1860"" pg 819: https://archive.org/stream/recordsofnewyork00irel_0/recordsofnewyork00irel_0_djvu.txt"
"Billington, Elizabeth, 1768-1818","Billington, Elizabeth, 1768-1818","Billington, ...
Billington, ..
Billington, Mrs,
Billington, Mrs
Billington,
Billington
Elizabeth Billington
Felissent, Elizabeth
Fellisent, Elizabeth,
Fellisent, Elizabeth
Weichsel, Elizabeth,
Weichsel, Elizabeth
Weichsell Billington, Elizabeth,
Weichsell Billington, Elizabeth
Weichsell, Elizabeth,
Weichsell, Elizabeth
Weichsel",http://viaf.org/viaf/54583122,https://en.wikipedia.org/wiki/Elizabeth_Billington,http://www.worldcat.org/identities/lccn-nr90-23754/,http://id.loc.gov/authorities/names/nr90023754,,,,"Encyclopedia Britannica: https://en.wikisource.org/wiki/1911_Encyclop%C3%A6dia_Britannica/Billington,_Elizabeth

Memoir: https://books.google.com/books?id=HugqAAAAYAAJ&pg=PA93"
"Bindon, Emily Coote, ca. 1779-1832",,,,,,,,,,Nothing found
"Bishop, Anna, 1810-1884","Bishop, Anna, 1810-1884","Anna Bishop
Bishop Schultz, Anna,
Bishop Schultz, Anna
Bishop,
Bishop
Riviere, Anna,
Riviere, Anna
Schultz, Anna Bishop,
Schultz, Anna Bishop
",http://viaf.org/viaf/48381894,https://en.wikipedia.org/wiki/Anna_Bishop,http://www.worldcat.org/identities/lccn-n90-611331/,http://id.loc.gov/authorities/names/n90611331,,,,"Dictionary of National Biography: https://en.wikisource.org/wiki/Bishop,_Ann_(DNB00)"
"Bishop, Miss",,,,,,,,,,Nothing found
"Blake, John, d. 1878",,,,,,,,,,Nothing found
"Blake, William Rufus, 1805-1863","Blake, William Rufus, 1805-1863",William Rufus Blake,http://viaf.org/viaf/26628273/,https://en.wikipedia.org/wiki/William_Rufus_Blake,http://www.worldcat.org/identities/lccn-no91-19552/,http://id.loc.gov/authorities/names/no91019552,,,,
"Blakes, Charles, d. 1763","Blakes, Charles, -1763","Blakes, Charles,
Blakes, Charles
Blakes,
Blakes",http://viaf.org/viaf/49180450,,http://www.worldcat.org/identities/lccn-nr2004-33319/,http://id.loc.gov/authorities/names/nr2004033319,,,,
"Blanchard, William, 1769-1835","Blanchard, William, 1769-1835","Blanchard,
Blanchard
William Blanchard",http://viaf.org/viaf/75880480,https://en.wikipedia.org/wiki/William_Blanchard_(comedian),http://www.worldcat.org/identities/lccn-no91-27401/,http://id.loc.gov/authorities/names/no91027401,,,,"Dictionary of National Biography: https://en.wikisource.org/wiki/Blanchard,_William_(DNB00)"
"Bland, George, d. 1807",,,,,,,,,,Nothing found
